ACTUAL,PREDICTED
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
NONE,AGAINST
AGAINST,AGAINST
NONE,AGAINST
NONE,AGAINST
NONE,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
NONE,AGAINST
NONE,AGAINST
NONE,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
FAVOR,NONE
AGAINST,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,FAVOR
FAVOR,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
NONE,AGAINST
FAVOR,AGAINST
NONE,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
NONE,AGAINST
AGAINST,AGAINST
NONE,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
NONE,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
FAVOR,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
