ACTUAL,PREDICTED
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
AGAINST,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
AGAINST,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,FAVOR
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
NONE,NONE
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
