ACTUAL,PREDICTED
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,FAVOR
NONE,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
NONE,FAVOR
NONE,FAVOR
AGAINST,FAVOR
NONE,FAVOR
AGAINST,FAVOR
NONE,FAVOR
AGAINST,FAVOR
NONE,FAVOR
NONE,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,FAVOR
NONE,FAVOR
NONE,FAVOR
AGAINST,FAVOR
NONE,FAVOR
NONE,AGAINST
AGAINST,FAVOR
NONE,FAVOR
NONE,NONE
NONE,NONE
AGAINST,FAVOR
FAVOR,FAVOR
NONE,AGAINST
NONE,FAVOR
NONE,FAVOR
FAVOR,FAVOR
NONE,FAVOR
NONE,FAVOR
NONE,AGAINST
NONE,AGAINST
NONE,FAVOR
FAVOR,FAVOR
AGAINST,FAVOR
NONE,FAVOR
FAVOR,FAVOR
NONE,FAVOR
NONE,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,FAVOR
FAVOR,FAVOR
AGAINST,FAVOR
NONE,FAVOR
FAVOR,FAVOR
NONE,FAVOR
AGAINST,FAVOR
NONE,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
AGAINST,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
AGAINST,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
