ACTUAL,PREDICTED
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
FAVOR,NONE
NONE,AGAINST
FAVOR,NONE
FAVOR,NONE
NONE,NONE
AGAINST,AGAINST
NONE,NONE
NONE,NONE
NONE,NONE
NONE,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
AGAINST,NONE
NONE,NONE
NONE,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
NONE,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
NONE,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
AGAINST,AGAINST
FAVOR,NONE
FAVOR,AGAINST
NONE,NONE
AGAINST,NONE
NONE,NONE
AGAINST,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
AGAINST,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
AGAINST,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
AGAINST,NONE
NONE,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
NONE,NONE
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,NONE
AGAINST,NONE
NONE,NONE
AGAINST,NONE
AGAINST,AGAINST
NONE,NONE
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
AGAINST,NONE
