ACTUAL,PREDICTED
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,AGAINST
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,AGAINST
FAVOR,NONE
NONE,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,AGAINST
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,AGAINST
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
NONE,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,NONE
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
AGAINST,FAVOR
NONE,NONE
NONE,NONE
FAVOR,NONE
NONE,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
AGAINST,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
FAVOR,AGAINST
AGAINST,FAVOR
FAVOR,NONE
AGAINST,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
AGAINST,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,FAVOR
NONE,NONE
NONE,FAVOR
NONE,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
