ACTUAL,PREDICTED
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,NONE
NONE,NONE
NONE,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
AGAINST,AGAINST
AGAINST,AGAINST
NONE,NONE
NONE,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
NONE,NONE
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,NONE
AGAINST,FAVOR
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,FAVOR
NONE,NONE
FAVOR,NONE
NONE,FAVOR
NONE,FAVOR
FAVOR,NONE
NONE,AGAINST
NONE,AGAINST
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
AGAINST,AGAINST
FAVOR,AGAINST
FAVOR,NONE
NONE,AGAINST
AGAINST,NONE
NONE,NONE
AGAINST,AGAINST
NONE,FAVOR
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
AGAINST,AGAINST
NONE,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,FAVOR
FAVOR,NONE
NONE,NONE
FAVOR,AGAINST
FAVOR,FAVOR
FAVOR,NONE
NONE,AGAINST
FAVOR,NONE
AGAINST,AGAINST
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,AGAINST
FAVOR,NONE
FAVOR,AGAINST
FAVOR,FAVOR
AGAINST,AGAINST
NONE,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
NONE,NONE
AGAINST,AGAINST
FAVOR,NONE
AGAINST,NONE
AGAINST,AGAINST
NONE,NONE
AGAINST,NONE
AGAINST,AGAINST
NONE,FAVOR
AGAINST,AGAINST
