ACTUAL,PREDICTED
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
AGAINST,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
NONE,NONE
NONE,FAVOR
FAVOR,NONE
FAVOR,FAVOR
NONE,NONE
NONE,NONE
FAVOR,FAVOR
AGAINST,NONE
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
AGAINST,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
AGAINST,FAVOR
FAVOR,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,NONE
AGAINST,NONE
AGAINST,FAVOR
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
FAVOR,FAVOR
AGAINST,FAVOR
FAVOR,NONE
FAVOR,NONE
FAVOR,NONE
NONE,NONE
NONE,NONE
NONE,NONE
NONE,NONE
FAVOR,NONE
FAVOR,NONE
FAVOR,FAVOR
FAVOR,FAVOR
