ACTUAL,PREDICTED
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,FAVOR
AGAINST,AGAINST
NONE,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,AGAINST
AGAINST,FAVOR
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
NONE,AGAINST
NONE,NONE
AGAINST,NONE
NONE,FAVOR
AGAINST,AGAINST
NONE,NONE
AGAINST,AGAINST
NONE,AGAINST
NONE,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
NONE,NONE
NONE,AGAINST
AGAINST,NONE
NONE,NONE
NONE,AGAINST
AGAINST,FAVOR
NONE,NONE
NONE,NONE
NONE,NONE
AGAINST,AGAINST
FAVOR,AGAINST
NONE,NONE
NONE,FAVOR
NONE,NONE
FAVOR,NONE
NONE,AGAINST
NONE,AGAINST
NONE,NONE
NONE,NONE
NONE,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
NONE,FAVOR
FAVOR,NONE
NONE,AGAINST
NONE,AGAINST
FAVOR,FAVOR
FAVOR,FAVOR
FAVOR,NONE
NONE,AGAINST
FAVOR,AGAINST
AGAINST,FAVOR
NONE,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,NONE
NONE,FAVOR
FAVOR,NONE
FAVOR,NONE
AGAINST,AGAINST
FAVOR,AGAINST
FAVOR,NONE
AGAINST,NONE
FAVOR,NONE
FAVOR,NONE
NONE,AGAINST
NONE,AGAINST
NONE,AGAINST
AGAINST,AGAINST
FAVOR,FAVOR
NONE,FAVOR
FAVOR,AGAINST
AGAINST,AGAINST
NONE,NONE
NONE,FAVOR
AGAINST,AGAINST
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,NONE
AGAINST,FAVOR
AGAINST,NONE
AGAINST,AGAINST
FAVOR,FAVOR
AGAINST,AGAINST
AGAINST,AGAINST
AGAINST,NONE
AGAINST,AGAINST
NONE,AGAINST
AGAINST,NONE
FAVOR,FAVOR
NONE,NONE
FAVOR,NONE
AGAINST,AGAINST
FAVOR,NONE
AGAINST,NONE
AGAINST,NONE
NONE,AGAINST
FAVOR,AGAINST
NONE,AGAINST
NONE,NONE
NONE,AGAINST
AGAINST,AGAINST
NONE,NONE
AGAINST,NONE
AGAINST,NONE
AGAINST,NONE
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,NONE
AGAINST,AGAINST
NONE,NONE
AGAINST,NONE
AGAINST,AGAINST
NONE,AGAINST
AGAINST,AGAINST
NONE,NONE
NONE,NONE
AGAINST,NONE
FAVOR,FAVOR
NONE,NONE
AGAINST,AGAINST
AGAINST,FAVOR
NONE,FAVOR
AGAINST,NONE
FAVOR,AGAINST
AGAINST,AGAINST
FAVOR,NONE
AGAINST,AGAINST
NONE,AGAINST
FAVOR,AGAINST
FAVOR,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,FAVOR
NONE,NONE
NONE,NONE
AGAINST,AGAINST
AGAINST,NONE
AGAINST,NONE
NONE,NONE
AGAINST,NONE
AGAINST,AGAINST
AGAINST,FAVOR
NONE,NONE
NONE,NONE
